"lhs","rhs","support","confidence","coverage","lift","count"
"{""a"",""e"",""i"",""o"",""s""}","{""n""}",0.00619979042961928,0.78021978021978,0.00794621026894866,2.10646005141202,284
"{""a"",""n"",""o"",""s"",""t""}","{""i""}",0.00600331819769473,0.6875,0.00873209919664687,1.9739877146797,275
"{""e"",""i"",""o"",""s"",""t""}","{""n""}",0.00587233670974502,0.675879396984925,0.00868843870066364,1.82475885053842,269
"{""a"",""e"",""i"",""o"",""t""}","{""n""}",0.00582867621376179,0.672544080604534,0.00866660845267202,1.81575406638372,267
"{""a"",""e"",""n"",""o"",""s""}","{""i""}",0.00619979042961928,0.655889145496536,0.00945249738037024,1.88322489513008,284
"{""a"",""i"",""o"",""s"",""t""}","{""n""}",0.00600331819769473,0.654761904761905,0.00916870415647922,1.76774523093849,275
"{""a"",""e"",""i"",""s"",""t""}","{""n""}",0.00654907439748516,0.645161290322581,0.010151065316102,1.74182521288954,300
"{""e"",""n"",""o"",""s"",""t""}","{""i""}",0.00587233670974502,0.64200477326969,0.0091468739084876,1.84335932392741,269
"{""a"",""e"",""n"",""s"",""t""}","{""i""}",0.00654907439748516,0.627615062761506,0.010434858539993,1.80204279772967,300
"{""e"",""i"",""n"",""r"",""t""}","{""a""}",0.00526108976597974,0.592137592137592,0.0088849109325882,1.43516607516608,241
"{""a"",""e"",""n"",""o"",""t""}","{""i""}",0.00582867621376179,0.585526315789474,0.00995459308417744,1.68119527853104,267
"{""a"",""e"",""i"",""n"",""o""}","{""s""}",0.00619979042961928,0.584362139917695,0.010609500523926,1.98270208913042,284
"{""a"",""e"",""n"",""r"",""t""}","{""i""}",0.00526108976597974,0.567058823529412,0.0092778553964373,1.62817040166951,241
"{""a"",""e"",""i"",""n"",""o""}","{""t""}",0.00582867621376179,0.549382716049383,0.010609500523926,1.57435867730936,267
"{""a"",""i"",""n"",""r"",""t""}","{""e""}",0.00526108976597974,0.52967032967033,0.00993276283618582,2.27374552165106,241
"{""a"",""e"",""i"",""r"",""t""}","{""n""}",0.00526108976597974,0.527352297592998,0.00997642333216905,1.4237610684352,241
"{""e"",""i"",""n"",""s"",""t""}","{""a""}",0.00654907439748516,0.527240773286467,0.0124214111072302,1.27787541495802,300
"{""e"",""i"",""n"",""o"",""t""}","{""s""}",0.00587233670974502,0.526418786692759,0.0111552567237164,1.78610412419983,269
"{""i"",""n"",""o"",""s"",""t""}","{""a""}",0.00600331819769473,0.523809523809524,0.011460880195599,1.26955908289242,275
"{""e"",""i"",""n"",""o"",""t""}","{""a""}",0.00582867621376179,0.522504892367906,0.0111552567237164,1.2663970428354,267
"{""a"",""i"",""n"",""o"",""s""}","{""e""}",0.00619979042961928,0.52014652014652,0.011919315403423,2.2328621305287,284
"{""a"",""i"",""n"",""o"",""t""}","{""s""}",0.00600331819769473,0.51789077212806,0.0115918616835487,1.75716913485239,275
"{""i"",""n"",""o"",""s"",""t""}","{""e""}",0.00587233670974502,0.512380952380952,0.011460880195599,2.19952644238278,269
"{""a"",""e"",""i"",""n"",""s""}","{""t""}",0.00654907439748516,0.505902192242833,0.012945337059029,1.44975712369469,300
"{""a"",""e"",""i"",""n"",""r""}","{""t""}",0.00526108976597974,0.505241090146751,0.0104130282920014,1.44786261228917,241
"{""a"",""i"",""n"",""o"",""s""}","{""t""}",0.00600331819769473,0.503663003663004,0.011919315403423,1.44334031102877,275
"{""a"",""i"",""n"",""o"",""t""}","{""e""}",0.00582867621376179,0.502824858757062,0.0115918616835487,2.15850446349391,267
