lhs,rhs,support,confidence,count,,
"{""b"",""e"",""l"",""t""}","{""a""}",0.00591796,0.741525424,175,0.0059,0.742
"{""<U+025B>"",""i"",""m"",""n""}","{""t""}",0.00547834,0.736363636,162,0.0055,0.736
"{""<U+025B>"",""i"",""m"",""t""}","{""n""}",0.00547834,0.72972973,162,0.0055,0.73
"{""i"",""k"",""m"",""n""}","{""a""}",0.008623313,0.724431818,255,0.0086,0.724
"{""l"",""n"",""o"",""s""}","{""i""}",0.005140171,0.713615023,152,0.0051,0.714
"{""e"",""l"",""r"",""t""}","{""a""}",0.005985594,0.710843373,177,0.006,0.711
"{""b"",""i"",""l"",""t""}","{""a""}",0.007000101,0.706484642,207,0.007,0.706
"{""k"",""n"",""o"",""s""}","{""i""}",0.005715059,0.701244813,169,0.0057,0.701
"{""e"",""m"",""n"",""s""}","{""a""}",0.005816509,0.699186992,172,0.0058,0.699
"{""b"",""e"",""i"",""r""}","{""a""}",0.00503872,0.696261682,149,0.005,0.696
"{""i"",""l"",""r"",""t""}","{""a""}",0.006459031,0.694545455,191,0.0065,0.695
"{""e"",""l"",""o"",""s""}","{""a""}",0.00503872,0.693023256,149,,
"{""b"",""e"",""l"",""t""}","{""i""}",0.005512157,0.690677966,163,,
"{""b"",""e"",""i"",""l""}","{""a""}",0.00909675,0.68974359,269,,
"{""e"",""k"",""m"",""n""}","{""a""}",0.006222312,0.689138577,184,,
