"lhs","rhs","support","confidence","coverage","lift","count"
"{""b"",""e"",""l"",""t""}","{""a""}",0.00591796016367387,0.741525423728814,0.00798079199215448,1.79646471449162,175
"{""<U+025B>"",""i"",""m"",""n""}","{""t""}",0.00547834026580095,0.736363636363636,0.00743972134861858,2.02860155495706,162
"{""<U+025B>"",""i"",""m"",""t""}","{""n""}",0.00547834026580095,0.72972972972973,0.00750735517906057,1.86862121907151,162
"{""i"",""k"",""m"",""n""}","{""a""}",0.00862331338135335,0.724431818181818,0.0119035541577897,1.755052703216,255
"{""l"",""n"",""o"",""s""}","{""i""}",0.00514017111359102,0.713615023474178,0.00720300294207162,1.95917833619487,152
"{""e"",""l"",""r"",""t""}","{""a""}",0.00598559399411586,0.710843373493976,0.00842041189002739,1.72213250840491,177
"{""b"",""i"",""l"",""t""}","{""a""}",0.00700010145074566,0.706484641638225,0.00990835615975111,1.71157277878781,207
"{""k"",""n"",""o"",""s""}","{""i""}",0.00571505867234791,0.701244813278008,0.00814987656825944,1.925216820485,169
"{""e"",""m"",""n"",""s""}","{""a""}",0.00581650941801089,0.699186991869919,0.00831896114436441,1.69389304740172,172
"{""b"",""e"",""i"",""r""}","{""a""}",0.00503872036792804,0.696261682242991,0.00723681985729262,1.68680601389542,149
"{""i"",""l"",""r"",""t""}","{""a""}",0.00645903080720977,0.694545454545455,0.00929965168577322,1.68264817600882,191
"{""e"",""l"",""o"",""s""}","{""a""}",0.00503872036792804,0.693023255813954,0.00727063677251361,1.67896040452846,149
"{""b"",""e"",""l"",""t""}","{""i""}",0.00551215718102195,0.690677966101695,0.00798079199215448,1.89620630726889,163
"{""b"",""e"",""i"",""l""}","{""a""}",0.00909675019444726,0.68974358974359,0.0131885969361875,1.67101488549137,269
"{""e"",""k"",""m"",""n""}","{""a""}",0.00622231240066281,0.689138576779026,0.00902911636400528,1.66954914418586,184
"{""e"",""m"",""s"",""t""}","{""a""}",0.00601941090933685,0.684615384615385,0.00879239795745832,1.65859098299701,178
"{""a"",""e"",""r"",""v""}","{""i""}",0.00517398802881201,0.683035714285714,0.00757498900950255,1.87522505868934,153
"{""e"",""i"",""l"",""r""}","{""a""}",0.00804842582259646,0.674220963172805,0.0119373710730107,1.63340882369187,238
"{""e"",""l"",""n"",""s""}","{""i""}",0.00669574921375672,0.673469387755102,0.0099421730749721,1.84896140240517,198
