"lhs","rhs","support","confidence","coverage","lift","count"
"{""a"",""e"",""i"",""o"",""s""}","{""n""}",0.00693246762030368,0.724381625441696,0.00957018700754117,1.8549263115636,205
"{""e"",""i"",""n"",""o"",""s""}","{""a""}",0.00693246762030368,0.580736543909348,0.0119373710730107,1.40692776830603,205
"{""a"",""e"",""n"",""o"",""s""}","{""i""}",0.00693246762030368,0.654952076677316,0.010584694464171,1.79812346666279,205
"{""a"",""e"",""i"",""n"",""o""}","{""s""}",0.00693246762030368,0.543766578249337,0.0127489770383146,1.90337612279961,205
"{""a"",""i"",""n"",""o"",""s""}","{""e""}",0.00693246762030368,0.599415204678363,0.0115653850055798,2.33043742013461,205
"{""a"",""e"",""i"",""n"",""s""}","{""o""}",0.00693246762030368,0.513784461152882,0.0134929491731764,2.37540967804126,205
"{""a"",""e"",""i"",""s"",""t""}","{""n""}",0.00625612931588381,0.542521994134897,0.0115315680903588,1.38923778044363,185
"{""e"",""i"",""n"",""s"",""t""}","{""a""}",0.00625612931588381,0.527065527065527,0.0118697372425687,1.27690108969808,185
"{""a"",""e"",""n"",""s"",""t""}","{""i""}",0.00625612931588381,0.596774193548387,0.010483243718508,1.63840030428181,185
"{""a"",""e"",""i"",""m"",""t""}","{""n""}",0.00601941090933685,0.684615384615385,0.00879239795745832,1.75309677333404,178
"{""e"",""i"",""m"",""n"",""t""}","{""a""}",0.00601941090933685,0.637992831541219,0.0094349193466572,1.54564034257786,178
"{""a"",""e"",""m"",""n"",""t""}","{""i""}",0.00601941090933685,0.589403973509934,0.01021270839674,1.61816589923519,178
"{""a"",""e"",""i"",""m"",""n""}","{""t""}",0.00601941090933685,0.654411764705882,0.00919820094011024,1.80283308124815,178
"{""a"",""e"",""i"",""o"",""t""}","{""n""}",0.00595177707889486,0.592592592592593,0.0100436238206351,1.51745371973983,176
"{""e"",""i"",""n"",""o"",""t""}","{""a""}",0.00595177707889486,0.548286604361371,0.0108552297859389,1.3283125657521,176
"{""a"",""e"",""n"",""o"",""t""}","{""i""}",0.00595177707889486,0.596610169491525,0.00997598999019309,1.63794998811939,176
"{""a"",""i"",""n"",""o"",""t""}","{""e""}",0.00595177707889486,0.522255192878338,0.0113963004294748,2.03045073739224,176
"{""e"",""i"",""n"",""r"",""t""}","{""a""}",0.00581650941801089,0.579124579124579,0.0100436238206351,1.40302252411051,172
"{""a"",""e"",""n"",""r"",""t""}","{""i""}",0.00581650941801089,0.632352941176471,0.00919820094011024,1.73607917774853,172
"{""a"",""e"",""i"",""n"",""r""}","{""t""}",0.00581650941801089,0.502923976608187,0.0115653850055798,1.38550073712323,172
"{""a"",""i"",""n"",""r"",""t""}","{""e""}",0.00581650941801089,0.565789473684211,0.010280342227182,2.19970556485877,172
"{""a"",""e"",""i"",""o"",""r""}","{""n""}",0.00517398802881201,0.609561752988048,0.00848804572046938,1.5609067022523,153
"{""e"",""i"",""n"",""o"",""r""}","{""a""}",0.00517398802881201,0.590733590733591,0.00875858104223733,1.43114722362633,153
"{""a"",""e"",""n"",""o"",""r""}","{""i""}",0.00517398802881201,0.640167364016736,0.00808224273781746,1.75753310939921,153
"{""a"",""i"",""n"",""o"",""r""}","{""e""}",0.00517398802881201,0.57089552238806,0.00906293327922627,2.21955712497204,153
