one,two,three,four,five,six,seven,eight,nine,ten,eleven,twelve,thirteen,fourteen,fifteen,sixteen,seventeen,eighteen,nineteen,twenty,twenty_one,twenty_two,twenty_three,twenty_four,twenty_five,twenty_six,twenty_seven,twenty_eight
ʕ,b,d,,,,,,,,,,,,,,,,,,,,,,,,,
f,q,d,,,,,,,,,,,,,,,,,,,,,,,,,
q,ʕ,,,,,,,,,,,,,,,,,,,,,,,,,,
m,q,a,ː,t,ˤ,ʕ,ة,,,,,,,,,,,,,,,,,,,,
d,u,ː,n,,,,,,,,,,,,,,,,,,,,,,,,
ħ,a,ː,l,ة,,,,,,,,,,,,,,,,,,,,,,,
m,a,ː,r,s,,,,,,,,,,,,,,,,,,,,,,,
n,h,a,ː,i,ː,ة,,,,,,,,,,,,,,,,,,,,,
u,ː,d,ˤ,ʕ,,,,,,,,,,,,,,,,,,,,,,,
h,m,,,,,,,,,,,,,,,,,,,,,,,,,,
q,s,m,,,,,,,,,,,,,,,,,,,,,,,,,
t,u,ː,f,i,ː,,,,,,,,,,,,,,,,,,,,,,
u,ː,h,m,,,,,,,,,,,,,,,,,,,,,,,,
ħ,d,,,,,,,,,,,,,,,,,,,,,,,,,,
r,ɣ,m,,,,,,,,,,,,,,,,,,,,,,,,,
q,t,l,,,,,,,,,,,,,,,,,,,,,,,,,
ʕ,a,ː,d,,,,,,,,,,,,,,,,,,,,,,,,
s,u,ː,f,,,,,,,,,,,,,,,,,,,,,,,,
h,d,f,,,,,,,,,,,,,,,,,,,,,,,,,
a,l,m,ʕ,r,u,ː,f,,,,,,,,,,,,,,,,,,,,
t,ħ,d,i,ː,d,,,,,,,,,,,,,,,,,,,,,,
ħ,d,u,ː,d,,,,,,,,,,,,,,,,,,,,,,,
a,ٔ,r,d,ˤ,,,,,,,,,,,,,,,,,,,,,,,
u,ː,f,a,ː,ة,,,,,,,,,,,,,,,,,,,,,,
f,k,r,ة,,,,,,,,,,,,,,,,,,,,,,,,
ʕ,a,ː,m,i,ː,,,,,,,,,,,,,,,,,,,,,,
a,ٕ,d,͡,ʒ,m,a,ː,l,i,ː,,,,,,,,,,,,,,,,,
a,l,ʕ,d,d,,,,,,,,,,,,,,,,,,,,,,,
ħ,d,θ,,,,,,,,,,,,,,,,,,,,,,,,,
a,l,m,l,k,i,ː,ة,,,,,,,,,,,,,,,,,,,,
q,s,ˤ,r,,,,,,,,,,,,,,,,,,,,,,,,
a,ٔ,ħ,d,a,ː,θ,,,,,,,,,,,,,,,,,,,,,
t,ˤ,r,q,,,,,,,,,,,,,,,,,,,,,,,,
r,u,ː,a,ː,i,ː,ة,,,,,,,,,,,,,,,,,,,,
f,s,ˤ,l,,,,,,,,,,,,,,,,,,,,,,,,
t,ʕ,r,d,ˤ,,,,,,,,,,,,,,,,,,,,,,,
