0,d,e,v,r,e,m,e,,,,,,,,,,
1,ɛ,k,s,a,ʒ,e,r,a,t,j,ɔ,̃,,,,,
2,s,u,a,l,a,,,,,,,,,,,,
3,m,ɗ,o,ɠ,o,,,,,,,,,,,,
4,d,e,s,a,ɾ,m,a,ɾ,,,,,,,,,
5,d,ɛ,ʃ,f,ɐ,v,o,ɾ,,,,,,,,,
6,m,ə,r,a,t,a,p,i,,,,,,,,,
7,t,͡,ɕ,ʲ,r,ʲ,e,z,m,ʲ,e,r,n,o,,,
8,p,ə,r,ə,s,i,,,,,,,,,,,
9,t,h,r,ə,a,t,,,,,,,,,,,
10,a,ɸ,i,m,,,,,,,,,,,,,
11,l,i,m,i,t,a,t,i,o,n,s,,,,,,
12,h,ʏ,l,p,e,ː,l,o,ː,s,,,,,,,
13,v,i,ː,l,e,ː,,,,,,,,,,,
14,ʁ,ɛ,ʒ,ɛ,j,t,ɐ,ɾ,,,,,,,,,
15,n,a,k,a,z,a,n,i,e,,,,,,,,
16,ɦ,ə,r,ɳ,e,,,,,,,,,,,,
17,o,l,u,m,s,u,z,,,,,,,,,,
18,k,i,m,ɛ,r,y,l,t,ʃ,e,ː,ɡ,,,,,
19,m,e,m,b,e,r,a,t,k,a,n,,,,,,
20,f,l,a,d,͡,ʒ,e,l,,,,,,,,,
21,z,d,r,a,i,a,t,o,,,,,,,,,
22,p,ʉ,ː,š,ǩ,ɑ,ː,v,ɑ,ː,,,,,,,
23,k,e,b,u,l,u,r,a,n,,,,,,,,
24,p,ɔ,v,s,t,ʐ,ɨ,m,ɨ,v,a,t,͡,ɕ,,,
25,v,o,z,r,a,ʒ,e,n,i,e,,,,,,,
26,l,̪,a,t,,,,,,,,,,,,,
27,m,ɒ,r,o,ː,,,,,,,,,,,,
28,i,n,k,ɔ,̃,s,t,j,t,y,t,j,ɔ,n,ɛ,l,
29,k,œ,t,y,k,,,,,,,,,,,,
30,k,o,t,͡,s,k,a,ː,z,ɒ,t,,,,,,
31,b,o,i,k,o,t,,,,,,,,,,,
