0,ʕ,b,d,,,,,,,,,,,,,,,,,,,,
1,f,q,d,,,,,,,,,,,,,,,,,,,,
2,q,ʕ,,,,,,,,,,,,,,,,,,,,,
3,m,q,aː,tˤ,ʕ,ة,,,,,,,,,,,,,,,,,
4,d,uː,n,,,,,,,,,,,,,,,,,,,,
5,ħ,aː,l,ة,,,,,,,,,,,,,,,,,,,
6,m,aː,r,s,,,,,,,,,,,,,,,,,,,
7,n,h,aː,iː,ة,,,,,,,,,,,,,,,,,,
8,uː,dˤ,ʕ,,,,,,,,,,,,,,,,,,,,
9,h,m,,,,,,,,,,,,,,,,,,,,,
10,q,s,m,,,,,,,,,,,,,,,,,,,,
11,t,uː,f,iː,,,,,,,,,,,,,,,,,,,
12,uː,h,m,,,,,,,,,,,,,,,,,,,,
13,ħ,d,,,,,,,,,,,,,,,,,,,,,
14,r,ɣ,m,,,,,,,,,,,,,,,,,,,,
15,q,t,l,,,,,,,,,,,,,,,,,,,,
16,ʕ,aː,d,,,,,,,,,,,,,,,,,,,,
17,s,uː,f,,,,,,,,,,,,,,,,,,,,
18,h,d,f,,,,,,,,,,,,,,,,,,,,
19,a,l,m,ʕ,r,uː,f,,,,,,,,,,,,,,,,
20,t,ħ,d,iː,d,,,,,,,,,,,,,,,,,,
21,ħ,d,uː,d,,,,,,,,,,,,,,,,,,,
22,a,ٔ,r,dˤ,,,,,,,,,,,,,,,,,,,
23,uː,f,aː,ة,,,,,,,,,,,,,,,,,,,
24,f,k,r,ة,,,,,,,,,,,,,,,,,,,
25,ʕ,aː,m,iː,,,,,,,,,,,,,,,,,,,
26,a,ٕ,d͡ʒ,m,aː,l,iː,,,,,,,,,,,,,,,,
27,a,l,ʕ,d,d,,,,,,,,,,,,,,,,,,
28,ħ,d,θ,,,,,,,,,,,,,,,,,,,,
29,a,l,m,l,k,iː,ة,,,,,,,,,,,,,,,,
30,q,sˤ,r,,,,,,,,,,,,,,,,,,,,
31,a,ٔ,ħ,d,aː,θ,,,,,,,,,,,,,,,,,
32,tˤ,r,q,,,,,,,,,,,,,,,,,,,,
33,r,uː,aː,iː,ة,,,,,,,,,,,,,,,,,,
34,f,sˤ,l,,,,,,,,,,,,,,,,,,,,
35,t,ʕ,r,dˤ,,,,,,,,,,,,,,,,,,,
36,r,f,dˤ,,,,,,,,,,,,,,,,,,,,
37,q,l,b,,,,,,,,,,,,,,,,,,,,
38,a,l,m,uː,t,,,,,,,,,,,,,,,,,,
39,m,uː,dˤ,uː,ʕ,,,,,,,,,,,,,,,,,,
40,q,tˤ,ʕ,,,,,,,,,,,,,,,,,,,,
41,dˤ,ɣ,tˤ,,,,,,,,,,,,,,,,,,,,
42,m,n,ʕ,,,,,,,,,,,,,,,,,,,,
43,uː,q,ʕ,,,,,,,,,,,,,,,,,,,,
44,s,q,uː,tˤ,,,,,,,,,,,,,,,,,,,
45,ħ,m,l,ة,,,,,,,,,,,,,,,,,,,
46,k,f,r,,,,,,,,,,,,,,,,,,,,
47,t,q,s,iː,m,,,,,,,,,,,,,,,,,,
48,m,ʃ,k,l,ة,,,,,,,,,,,,,,,,,,
49,q,d,iː,m,ة,,,,,,,,,,,,,,,,,,
50,x,aː,n,,,,,,,,,,,,,,,,,,,,
51,q,dˤ,aː,ء,,,,,,,,,,,,,,,,,,,
52,m,q,aː,uː,m,ة,,,,,,,,,,,,,,,,,
53,tˤ,uː,iː,l,,,,,,,,,,,,,,,,,,,
54,a,l,ʕ,uː,d,ة,,,,,,,,,,,,,,,,,
55,t,d,x,l,,,,,,,,,,,,,,,,,,,
56,m,iː,n,aː,ء,,,,,,,,,,,,,,,,,,
57,a,l,s,d͡ʒ,n,,,,,,,,,,,,,,,,,,
58,n,q,sˤ,,,,,,,,,,,,,,,,,,,,
59,m,t,uː,s,tˤ,,,,,,,,,,,,,,,,,,
60,m,ʃ,aː,k,l,,,,,,,,,,,,,,,,,,
61,a,n,t,h,t,,,,,,,,,,,,,,,,,,
62,q,dˤ,iː,ة,,,,,,,,,,,,,,,,,,,
63,a,l,ʕ,d,uː,,,,,,,,,,,,,,,,,,
64,s,m,,,,,,,,,,,,,,,,,,,,,
65,sˤ,n,ʕ,,,,,,,,,,,,,,,,,,,,
66,m,r,k,b,,,,,,,,,,,,,,,,,,,
67,m,d͡ʒ,m,ʕ,,,,,,,,,,,,,,,,,,,
68,m,r,,,,,,,,,,,,,,,,,,,,,
69,dˤ,ʕ,f,,,,,,,,,,,,,,,,,,,,
70,a,ٔ,sˤ,d,r,,,,,,,,,,,,,,,,,,
71,a,l,t,h,aː,b,,,,,,,,,,,,,,,,,
72,ħ,m,l,,,,,,,,,,,,,,,,,,,,
73,f,ʃ,l,,,,,,,,,,,,,,,,,,,,
74,m,uː,aː,d͡ʒ,h,ة,,,,,,,,,,,,,,,,,
75,d,iː,n,,,,,,,,,,,,,,,,,,,,
76,iː,x,t,l,f,,,,,,,,,,,,,,,,,,
77,s,m,iː,,,,,,,,,,,,,,,,,,,,
78,b,ʕ,iː,d,,,,,,,,,,,,,,,,,,,
79,b,q,aː,iː,aː,,,,,,,,,,,,,,,,,,
80,q,iː,d,,,,,,,,,,,,,,,,,,,,
81,ħ,r,f,,,,,,,,,,,,,,,,,,,,
82,r,d,,,,,,,,,,,,,,,,,,,,,
83,a,n,x,f,aː,dˤ,,,,,,,,,,,,,,,,,
84,q,d,iː,m,,,,,,,,,,,,,,,,,,,
85,a,ٕ,z,aː,l,ة,,,,,,,,,,,,,,,,,
86,a,ٔ,x,r,,,,,,,,,,,,,,,,,,,
87,t,uː,q,f,,,,,,,,,,,,,,,,,,,
88,a,l,ʔ,a,ʕ,r,aː,dˤ,,,,,,,,,,,,,,,
89,ɣ,aː,z,,,,,,,,,,,,,,,,,,,,
90,ʕ,aː,l,iː,,,,,,,,,,,,,,,,,,,
91,a,ٔ,ʕ,r,aː,dˤ,,,,,,,,,,,,,,,,,
92,h,d͡ʒ,uː,m,,,,,,,,,,,,,,,,,,,
93,x,tˤ,r,,,,,,,,,,,,,,,,,,,,
94,s,l,aː,l,ة,,,,,,,,,,,,,,,,,,
95,m,uː,t,,,,,,,,,,,,,,,,,,,,
96,s,iː,tˤ,r,ة,,,,,,,,,,,,,,,,,,
97,b,ʃ,d,ة,,,,,,,,,,,,,,,,,,,
98,q,dˤ,aː,iː,aː,,,,,,,,,,,,,,,,,,
99,dˤ,r,b,,,,,,,,,,,,,,,,,,,,
100,m,s,ʔ,a,l,ة,,,,,,,,,,,,,,,,,
101,f,r,dˤ,,,,,,,,,,,,,,,,,,,,
102,x,l,aː,f,,,,,,,,,,,,,,,,,,,
103,s,d͡ʒ,n,,,,,,,,,,,,,,,,,,,,
104,r,s,m,iː,,,,,,,,,,,,,,,,,,,
105,x,tˤ,ʔ,a,,,,,,,,,,,,,,,,,,,
106,t,aː,b,ʕ,,,,,,,,,,,,,,,,,,,
107,q,r,iː,b,,,,,,,,,,,,,,,,,,,
108,t,d,m,iː,r,,,,,,,,,,,,,,,,,,
109,k,ʃ,f,,,,,,,,,,,,,,,,,,,,
110,m,r,aː,q,b,ة,,,,,,,,,,,,,,,,,
111,f,q,d,aː,n,,,,,,,,,,,,,,,,,,
112,tˤ,r,ħ,,,,,,,,,,,,,,,,,,,,
113,a,l,n,q,aː,d,,,,,,,,,,,,,,,,,
114,sˤ,ʕ,uː,b,ة,,,,,,,,,,,,,,,,,,
115,ħ,ð,f,,,,,,,,,,,,,,,,,,,,
116,ʕ,l,aː,m,aː,t,,,,,,,,,,,,,,,,,
117,a,ɣ,t,iː,aː,l,,,,,,,,,,,,,,,,,
118,a,l,x,aː,m,,,,,,,,,,,,,,,,,,
119,l,k,m,,,,,,,,,,,,,,,,,,,,
120,iː,ʕ,aː,n,iː,,,,,,,,,,,,,,,,,,
121,ħ,sˤ,aː,r,,,,,,,,,,,,,,,,,,,
122,q,l,ة,,,,,,,,,,,,,,,,,,,,
123,t,m,θ,aː,l,,,,,,,,,,,,,,,,,,
124,s,r,tˤ,aː,n,,,,,,,,,,,,,,,,,,
125,a,ٕ,sˤ,aː,b,ة,,,,,,,,,,,,,,,,,
126,sˤ,r,aː,ʕ,,,,,,,,,,,,,,,,,,,
127,s,ħ,b,,,,,,,,,,,,,,,,,,,,
128,ɣ,aː,d,r,,,,,,,,,,,,,,,,,,,
129,x,s,r,,,,,,,,,,,,,,,,,,,,
130,ʃ,k,,,,,,,,,,,,,,,,,,,,,
131,ɣ,iː,aː,b,,,,,,,,,,,,,,,,,,,
132,a,ٔ,z,m,ة,,,,,,,,,,,,,,,,,,
133,n,s,x,,,,,,,,,,,,,,,,,,,,
134,sˤ,iː,ɣ,ة,,,,,,,,,,,,,,,,,,,
135,ʕ,r,dˤ,h,,,,,,,,,,,,,,,,,,,
136,ħ,d,ة,,,,,,,,,,,,,,,,,,,,
137,dˤ,x,m,,,,,,,,,,,,,,,,,,,,
138,s,ʕ,r,,,,,,,,,,,,,,,,,,,,
139,d͡ʒ,h,uː,d,,,,,,,,,,,,,,,,,,,
140,r,s,uː,m,,,,,,,,,,,,,,,,,,,
141,tˤ,r,d,,,,,,,,,,,,,,,,,,,,
142,a,n,h,iː,aː,r,,,,,,,,,,,,,,,,,
143,m,n,x,f,dˤ,,,,,,,,,,,,,,,,,,
144,k,ʕ,b,,,,,,,,,,,,,,,,,,,,
145,x,s,aː,iː,ٔ,r,,,,,,,,,,,,,,,,,
146,m,t,l,aː,z,m,ة,,,,,,,,,,,,,,,,
147,a,dˤ,tˤ,r,aː,b,,,,,,,,,,,,,,,,,
148,t,r,aː,d͡ʒ,ʕ,,,,,,,,,,,,,,,,,,
149,ɣ,r,iː,b,,,,,,,,,,,,,,,,,,,
150,a,l,m,x,aː,tˤ,r,,,,,,,,,,,,,,,,
151,sˤ,ħ,r,aː,ء,,,,,,,,,,,,,,,,,,
152,a,l,ʕ,d,uː,ى,,,,,,,,,,,,,,,,,
153,uː,ħ,iː,d,,,,,,,,,,,,,,,,,,,
154,f,iː,r,uː,s,,,,,,,,,,,,,,,,,,
155,t,r,d,d,,,,,,,,,,,,,,,,,,,
156,q,t,aː,l,,,,,,,,,,,,,,,,,,,
157,a,l,h,d͡ʒ,m,aː,t,,,,,,,,,,,,,,,,
158,a,l,ʕ,b,iː,d,,,,,,,,,,,,,,,,,
159,ħ,aː,d,θ,,,,,,,,,,,,,,,,,,,
160,n,aː,d,r,,,,,,,,,,,,,,,,,,,
161,k,s,r,,,,,,,,,,,,,,,,,,,,
162,a,n,d,l,aː,ʕ,,,,,,,,,,,,,,,,,
163,m,ʕ,aː,r,dˤ,ة,,,,,,,,,,,,,,,,,
164,ʕ,r,dˤ,ة,,,,,,,,,,,,,,,,,,,
165,t,s,t,m,r,,,,,,,,,,,,,,,,,,
166,a,s,t,ɣ,l,aː,l,,,,,,,,,,,,,,,,
167,s,iː,d,ة,,,,,,,,,,,,,,,,,,,
168,t,m,iː,iː,z,,,,,,,,,,,,,,,,,,
169,x,f,dˤ,,,,,,,,,,,,,,,,,,,,
170,a,l,m,uː,aː,q,f,,,,,,,,,,,,,,,,
171,a,l,ʔ,a,x,tˤ,aː,ء,,,,,,,,,,,,,,,
172,t,d͡ʒ,n,b,,,,,,,,,,,,,,,,,,,
173,dˤ,iː,q,,,,,,,,,,,,,,,,,,,,
174,x,aː,d,m,,,,,,,,,,,,,,,,,,,
175,ʕ,z,l,,,,,,,,,,,,,,,,,,,,
176,a,l,aː,ħ,t,d͡ʒ,aː,d͡ʒ,aː,t,,,,,,,,,,,,,
177,a,l,d,b,aː,b,aː,t,,,,,,,,,,,,,,,
178,m,ħ,d,uː,d,,,,,,,,,,,,,,,,,,
179,s,q,tˤ,,,,,,,,,,,,,,,,,,,,
180,m,q,ʕ,d,,,,,,,,,,,,,,,,,,,
181,a,dˤ,tˤ,r,aː,b,aː,t,,,,,,,,,,,,,,,
182,f,t,ħ,ة,,,,,,,,,,,,,,,,,,,
183,a,ٔ,s,tˤ,uː,r,ة,,,,,,,,,,,,,,,,
184,ɣ,aː,l,b,,,,,,,,,,,,,,,,,,,
185,a,n,f,d͡ʒ,aː,r,,,,,,,,,,,,,,,,,
186,d,b,aː,b,ة,,,,,,,,,,,,,,,,,,
187,x,tˤ,uː,r,ة,,,,,,,,,,,,,,,,,,
188,x,s,aː,r,ة,,,,,,,,,,,,,,,,,,
189,a,l,q,iː,aː,m,ة,,,,,,,,,,,,,,,,
190,a,ٕ,s,q,aː,tˤ,,,,,,,,,,,,,,,,,
191,f,k,,,,,,,,,,,,,,,,,,,,,
192,s,aː,m,,,,,,,,,,,,,,,,,,,,
193,x,l,l,,,,,,,,,,,,,,,,,,,,
194,q,sˤ,uː,r,,,,,,,,,,,,,,,,,,,
195,d͡ʒ,r,iː,m,ة,,,,,,,,,,,,,,,,,,
196,n,aː,r,,,,,,,,,,,,,,,,,,,,
197,ħ,ðˤ,r,,,,,,,,,,,,,,,,,,,,
198,f,n,iː,,,,,,,,,,,,,,,,,,,,
199,d,aː,ء,,,,,,,,,,,,,,,,,,,,
200,a,l,d͡ʒ,ð,uː,r,,,,,,,,,,,,,,,,,
201,ħ,d͡ʒ,ة,,,,,,,,,,,,,,,,,,,,
202,s,iː,iː,ٔ,ة,,,,,,,,,,,,,,,,,,
203,a,l,m,iː,t,,,,,,,,,,,,,,,,,,
204,n,q,d,,,,,,,,,,,,,,,,,,,,
205,a,l,ɣ,aː,z,iː,ة,,,,,,,,,,,,,,,,
206,uː,ħ,l,,,,,,,,,,,,,,,,,,,,
207,a,l,q,l,q,,,,,,,,,,,,,,,,,,
208,r,aː,iː,ٔ,ħ,ة,,,,,,,,,,,,,,,,,
209,dˤ,r,b,ة,,,,,,,,,,,,,,,,,,,
210,a,l,x,l,aː,f,aː,t,,,,,,,,,,,,,,,
211,ʕ,q,b,ة,,,,,,,,,,,,,,,,,,,
212,ɣ,dˤ,b,,,,,,,,,,,,,,,,,,,,
213,iː,m,uː,t,,,,,,,,,,,,,,,,,,,
214,dˤ,ʕ,iː,f,,,,,,,,,,,,,,,,,,,
215,t,r,b,ة,,,,,,,,,,,,,,,,,,,
216,m,ħ,aː,k,m,ة,,,,,,,,,,,,,,,,,
217,a,l,ʔ,a,ʕ,d,aː,ء,,,,,,,,,,,,,,,
218,a,ٔ,l,m,,,,,,,,,,,,,,,,,,,
219,b,aː,l,ɣ,,,,,,,,,,,,,,,,,,,
220,a,s,t,q,aː,l,,,,,,,,,,,,,,,,,
221,iː,q,t,l,,,,,,,,,,,,,,,,,,,
222,m,iː,t,,,,,,,,,,,,,,,,,,,,
223,f,d͡ʒ,ʔ,a,ة,,,,,,,,,,,,,,,,,,
224,ʕ,aː,d,iː,,,,,,,,,,,,,,,,,,,
225,iː,r,f,dˤ,,,,,,,,,,,,,,,,,,,
226,a,l,s,ħ,b,,,,,,,,,,,,,,,,,,
227,x,aː,r,d͡ʒ,iː,,,,,,,,,,,,,,,,,,
228,h,aː,d͡ʒ,m,,,,,,,,,,,,,,,,,,,
229,m,n,aː,f,s,ة,,,,,,,,,,,,,,,,,
230,a,l,m,uː,aː,d͡ʒ,h,ة,,,,,,,,,,,,,,,
231,ħ,uː,aː,d,θ,,,,,,,,,,,,,,,,,,
232,m,ħ,r,m,,,,,,,,,,,,,,,,,,,
233,q,aː,t,l,,,,,,,,,,,,,,,,,,,
234,ħ,r,m,,,,,,,,,,,,,,,,,,,,
235,ħ,s,aː,s,iː,ة,,,,,,,,,,,,,,,,,
236,sˤ,ʕ,b,,,,,,,,,,,,,,,,,,,,
237,k,aː,iː,ٔ,n,,,,,,,,,,,,,,,,,,
238,a,ʕ,t,q,aː,l,,,,,,,,,,,,,,,,,
239,a,l,n,dˤ,aː,l,,,,,,,,,,,,,,,,,
240,h,r,b,,,,,,,,,,,,,,,,,,,,
241,q,sˤ,f,,,,,,,,,,,,,,,,,,,,
242,a,l,x,sˤ,m,,,,,,,,,,,,,,,,,,
243,a,n,q,tˤ,aː,ʕ,,,,,,,,,,,,,,,,,
244,s,l,b,iː,ة,,,,,,,,,,,,,,,,,,
245,a,l,θ,uː,r,aː,t,,,,,,,,,,,,,,,,
246,m,s,ħ,uː,q,,,,,,,,,,,,,,,,,,
247,a,l,b,tˤ,aː,l,ة,,,,,,,,,,,,,,,,
248,a,l,q,iː,uː,d,,,,,,,,,,,,,,,,,
249,a,l,ɣ,r,iː,b,,,,,,,,,,,,,,,,,
250,a,n,s,ħ,aː,b,,,,,,,,,,,,,,,,,
251,q,n,b,l,ة,,,,,,,,,,,,,,,,,,
252,a,l,t,ʕ,ð,iː,b,,,,,,,,,,,,,,,,
253,t,m,r,d,,,,,,,,,,,,,,,,,,,
254,t,q,t,sˤ,r,,,,,,,,,,,,,,,,,,
255,a,l,f,ʃ,l,,,,,,,,,,,,,,,,,,
256,a,l,ħ,s,aː,s,iː,ة,,,,,,,,,,,,,,,
257,a,l,d͡ʒ,r,aː,iː,ٔ,m,,,,,,,,,,,,,,,
258,ʕ,aː,n,ى,,,,,,,,,,,,,,,,,,,
259,x,aː,l,iː,ة,,,,,,,,,,,,,,,,,,
260,t,l,uː,θ,,,,,,,,,,,,,,,,,,,
261,a,l,m,uː,aː,n,iː,ٔ,,,,,,,,,,,,,,,
262,a,ٔ,x,tˤ,aː,ء,,,,,,,,,,,,,,,,,
263,m,uː,ٔ,q,t,,,,,,,,,,,,,,,,,,
264,ʃ,q,,,,,,,,,,,,,,,,,,,,,
