0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
b,i,ː,n,,,,,,,,,,,,,,,,,,,,,,,
m,θ,l,,,,,,,,,,,,,,,,,,,,,,,,
a,ٔ,u,ː,l,,,,,,,,,,,,,,,,,,,,,,
n,s,m,ة,,,,,,,,,,,,,,,,,,,,,,,
a,ٔ,k,b,r,,,,,,,,,,,,,,,,,,,,,,
q,d,m,,,,,,,,,,,,,,,,,,,,,,,,
k,b,i,ː,r,,,,,,,,,,,,,,,,,,,,,,
b,a,ː,s,m,,,,,,,,,,,,,,,,,,,,,,
ʕ,m,l,,,,,,,,,,,,,,,,,,,,,,,,
d,ˤ,m,n,,,,,,,,,,,,,,,,,,,,,,,
a,l,u,ː,t,ˤ,n,i,ː,,,,,,,,,,,,,,,,,,
k,ʔ,a,s,,,,,,,,,,,,,,,,,,,,,,,
a,ٔ,f,d,ˤ,l,,,,,,,,,,,,,,,,,,,,,
a,ٔ,h,l,,,,,,,,,,,,,,,,,,,,,,,
ʕ,h,d,,,,,,,,,,,,,,,,,,,,,,,,
k,θ,i,ː,r,,,,,,,,,,,,,,,,,,,,,,
d,͡,ʒ,d,a,ː,,,,,,,,,,,,,,,,,,,,,
ʕ,i,ː,n,,,,,,,,,,,,,,,,,,,,,,,
a,ٔ,ʕ,l,ى,,,,,,,,,,,,,,,,,,,,,,
d,͡,ʒ,d,i,ː,d,,,,,,,,,,,,,,,,,,,,
ħ,s,n,,,,,,,,,,,,,,,,,,,,,,,,
i,ː,ʕ,m,l,,,,,,,,,,,,,,,,,,,,,,
d,͡,ʒ,a,ː,i,ː,ٔ,z,ة,,,,,,,,,,,,,,,,,
z,i,ː,a,ː,d,ة,,,,,,,,,,,,,,,,,,,,
r,ʔ,a,s,,,,,,,,,,,,,,,,,,,,,,,
t,ˤ,r,i,ː,q,ة,,,,,,,,,,,,,,,,,,,,
a,ٔ,ʕ,m,a,ː,l,,,,,,,,,,,,,,,,,,,,
s,ʕ,i,ː,d,,,,,,,,,,,,,,,,,,,,,,
m,ʃ,r,u,ː,ʕ,,,,,,,,,,,,,,,,,,,,,
s,ˤ,a,ː,l,ħ,,,,,,,,,,,,,,,,,,,,,
u,ː,ħ,d,ة,,,,,,,,,,,,,,,,,,,,,,
i,ː,u,ː,ٔ,d,i,ː,,,,,,,,,,,,,,,,,,,
t,q,d,m,,,,,,,,,,,,,,,,,,,,,,,
ʃ,x,s,ˤ,i,ː,ة,,,,,,,,,,,,,,,,,,,,
t,ħ,q,i,ː,q,,,,,,,,,,,,,,,,,,,,,
ð,ˤ,h,r,,,,,,,,,,,,,,,,,,,,,,,
a,l,,,,,,,,,,,,,,,,,,,,,,,,,
ħ,i,ː,,,,,,,,,,,,,,,,,,,,,,,,
