0,b,iː,n,,,,,,,,,,,,,,,,,,,
1,m,θ,l,,,,,,,,,,,,,,,,,,,
2,a,ٔ,uː,l,,,,,,,,,,,,,,,,,,
3,n,s,m,ة,,,,,,,,,,,,,,,,,,
4,a,ٔ,k,b,r,,,,,,,,,,,,,,,,,
5,q,d,m,,,,,,,,,,,,,,,,,,,
6,k,b,iː,r,,,,,,,,,,,,,,,,,,
7,b,aː,s,m,,,,,,,,,,,,,,,,,,
8,ʕ,m,l,,,,,,,,,,,,,,,,,,,
9,dˤ,m,n,,,,,,,,,,,,,,,,,,,
10,a,l,uː,tˤ,n,iː,,,,,,,,,,,,,,,,
11,k,ʔ,a,s,,,,,,,,,,,,,,,,,,
12,a,ٔ,f,dˤ,l,,,,,,,,,,,,,,,,,
13,a,ٔ,h,l,,,,,,,,,,,,,,,,,,
14,ʕ,h,d,,,,,,,,,,,,,,,,,,,
15,k,θ,iː,r,,,,,,,,,,,,,,,,,,
16,d͡ʒ,d,aː,,,,,,,,,,,,,,,,,,,
17,ʕ,iː,n,,,,,,,,,,,,,,,,,,,
18,a,ٔ,ʕ,l,ى,,,,,,,,,,,,,,,,,
19,d͡ʒ,d,iː,d,,,,,,,,,,,,,,,,,,
20,ħ,s,n,,,,,,,,,,,,,,,,,,,
21,iː,ʕ,m,l,,,,,,,,,,,,,,,,,,
22,d͡ʒ,aː,iː,ٔ,z,ة,,,,,,,,,,,,,,,,
23,z,iː,aː,d,ة,,,,,,,,,,,,,,,,,
24,r,ʔ,a,s,,,,,,,,,,,,,,,,,,
25,tˤ,r,iː,q,ة,,,,,,,,,,,,,,,,,
26,a,ٔ,ʕ,m,aː,l,,,,,,,,,,,,,,,,
27,s,ʕ,iː,d,,,,,,,,,,,,,,,,,,
28,m,ʃ,r,uː,ʕ,,,,,,,,,,,,,,,,,
29,sˤ,aː,l,ħ,,,,,,,,,,,,,,,,,,
30,uː,ħ,d,ة,,,,,,,,,,,,,,,,,,
31,iː,uː,ٔ,d,iː,,,,,,,,,,,,,,,,,
32,t,q,d,m,,,,,,,,,,,,,,,,,,
33,ʃ,x,sˤ,iː,ة,,,,,,,,,,,,,,,,,
34,t,ħ,q,iː,q,,,,,,,,,,,,,,,,,
35,ðˤ,h,r,,,,,,,,,,,,,,,,,,,
36,a,l,,,,,,,,,,,,,,,,,,,,
37,ħ,iː,,,,,,,,,,,,,,,,,,,,
38,t,ʔ,a,θ,iː,r,,,,,,,,,,,,,,,,
39,k,aː,m,l,,,,,,,,,,,,,,,,,,
40,tˤ,l,b,,,,,,,,,,,,,,,,,,,
41,t,ħ,m,l,,,,,,,,,,,,,,,,,,
42,q,iː,m,ة,,,,,,,,,,,,,,,,,,
43,m,ʕ,l,uː,m,aː,t,,,,,,,,,,,,,,,
44,ʕ,l,aː,q,ة,,,,,,,,,,,,,,,,,
45,q,iː,aː,d,ة,,,,,,,,,,,,,,,,,
46,m,ʕ,d,l,,,,,,,,,,,,,,,,,,
47,s,r,ʕ,ة,,,,,,,,,,,,,,,,,,
48,uː,aː,s,ʕ,,,,,,,,,,,,,,,,,,
49,ʕ,r,f,,,,,,,,,,,,,,,,,,,
50,a,l,b,n,aː,ء,,,,,,,,,,,,,,,,
51,t,ħ,r,iː,r,,,,,,,,,,,,,,,,,
52,ʕ,m,q,,,,,,,,,,,,,,,,,,,
53,d͡ʒ,m,aː,l,,,,,,,,,,,,,,,,,,
54,ħ,q,,,,,,,,,,,,,,,,,,,,
